Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-11-19,51.71,51.78,51.18,51.54,431596.0,0.0,1.0,50.396711926726,50.464934124268,49.880172431055,50.231029446983,431596.0
2014-11-20,50.49,51.4101,50.49,51.33,524613.0,0.0,1.0,49.20769648386,50.104428540402,49.20769648386,50.026362854358,524613.0
2014-11-21,51.69,52.02,51.02,51.13,433427.0,0.0,1.0,50.377219870286,50.698838801553,49.724235979531,49.831442289954,433427.0
2014-11-24,51.45,51.78,51.29,51.47,522322.0,0.0,1.0,50.143315193001,50.464934124268,49.987378741477,50.162807249441,522322.0
2014-11-25,51.43,51.84,51.4,51.81,831794.0,0.0,1.0,50.12382313656,50.523410293589,50.0945850519,50.494172208928,831794.0
2014-11-26,51.89,52.71,51.61,52.6,683331.0,0.0,1.0,50.57214043469,51.371314748748,50.299251644524,51.264108438325,683331.0
2014-11-28,52.61,52.61,51.42,51.53,279568.0,0.0,1.0,51.273854466545,51.273854466545,50.11407710834,50.221283418762,279568.0
2014-12-01,51.31,51.31,50.34,50.36,760271.0,0.0,1.0,50.006870797918,50.006870797918,49.061506060557,49.080998116997,760271.0
2014-12-02,50.49,51.2,50.38,50.81,701127.0,0.0,1.0,49.20769648386,49.899664487495,49.100490173438,49.519569386907,701127.0
2014-12-03,50.31,51.5,50.31,51.32,613893.0,0.0,1.0,49.032267975896,50.192045334102,49.032267975896,50.016616826138,613893.0
2014-12-04,51.33,51.48,51.01,51.31,316044.0,0.0,1.0,50.026362854358,50.172553277661,49.714489951311,50.006870797918,316044.0
2014-12-05,51.6,52.35,51.41,51.81,631156.0,0.0,1.0,50.289505616304,51.02045773282,50.10433108012,50.494172208928,631156.0
2014-12-08,51.8,52.44,51.51,52.0,791519.0,0.0,1.0,50.484426180708,51.108171986802,50.201791362322,50.679346745112,791519.0
2014-12-09,51.36,52.37,51.17,52.26,506267.0,0.0,1.0,50.055600939019,51.03994978926,49.870426402835,50.932743478838,506267.0
